case_id,acitivty,date,body_parts,is_fatal,occupation,topics
202561825, Employee Falls From Flatbed Trailer And Later Dies ,2013-08-30 00:00:00,,True,,
200361855, Two Workers Are Struck By Motor Vehicle And One Is Killed ,2013-08-27 00:00:00,,True,,
200361863, Employee Is Struck By Bales Of Wire And Killed ,2013-08-26 00:00:00,"face, head, leg",True,,
201079324, Employee Is Splashed With Hot Water And Is Burned ,2013-07-14 00:00:00,leg,False,,
202658258, Employee Suffers Burns While Moving Soup ,2013-06-30 00:00:00,"arm, chest",False,,
202685947, Employee Injures Self With Knife ,,,False,,
202673471, Foreman Is Fatally Crushed When Forklift Tips Over ,2013-05-13 00:00:00,,True,,
202369575, Employee Fractures Abdomen When Run Over By Tug Cart ,2013-04-23 00:00:00,,False,,
202509832, Employee Suffers Abdominal Fracture In Fall From Ladder ,2013-04-09 00:00:00,,False,,
201129681, Carpenter Injured In Abdomen When Saw Kicks Back ,2013-04-01 00:00:00,,False,,
202081899, Employee Abdomen And Head Injury In Slip And Fall On Tarp ,2013-02-24 00:00:00,head,False,,
202082020, Employee Sustains Ruptured Spleen After Board Kicks Back ,2013-02-11 00:00:00,,False,,
201562840, Employee'S Body Is Caught In Asphalt Machine  Dies ,2012-11-27 00:00:00,,True,,
202674610, Logger Is Injured When Butt Of Tree Kicks Out  Strikes Him ,2012-11-07 00:00:00,chest,False,,
202457990, Employee Suffers Burns When He Came In Contact With Live Wir ,2012-10-17 00:00:00,leg,False,,
201510823, Bulldozer Operator Is Crushed While Working On Engine ,2012-09-26 00:00:00,,False,,
202478632, Employee Is Punctured In Abdomen With Nail ,2012-09-28 00:00:00,,False,,
200361178, Employee'S Abdomen Is Penetrated By A Wood Pallet ,2012-09-20 00:00:00,,False,,
202692364, Carpenter Is Injured In Fall From Ceiling Joist ,2013-12-04 00:00:00,,False,,
202615324, Employee Fractures Ankle Unclogging Beet Harvester ,2013-09-26 00:00:00,"leg, ankle, knee",False,,
201510989, Pipeline Worker Is Struck And Injured By Falling Cement ,2013-08-22 00:00:00,"face, leg",False,,
202510004, Employee Crushes Leg  Suffers Possible Fracture ,2013-07-09 00:00:00,leg,False,,
201187002, Employee Is Struck By Cable  Sustains Facial Abrasion ,2013-06-21 00:00:00,face,False,,
202654620, Worker Falls From Roof And Breaks Arm ,2013-06-19 00:00:00,"arm, face",False,,
200361772, Driver Hurt When Truck Unloading Sand Overturns ,2013-06-18 00:00:00,,False,,
202675229, Employee Sprains Knee When Struck By Forklift ,2013-06-11 00:00:00,"leg, knee",False,,
202657722, Employee Falls Through Greenhouse Roof  Fractures Ribs ,2013-06-08 00:00:00,,False,,
201562907, Employee Is Killed In Avalance ,2013-04-11 00:00:00,,True,,
202523676, Worker Smashes Finger While Moving A Pallet Of Cans ,2013-04-11 00:00:00,finger,False,,
202657474, Tile Setter Sustains Injuries In Fall From Ladder ,2013-04-12 00:00:00,,False,,
201129731, Worker Injured In Fall Between Two Barges ,2013-03-22 00:00:00,"head, leg",False,,
200376341, Employee Caught In Floors Suffers Lung Collapse ,2013-03-16 00:00:00,"knee, leg, hip",False,,
202082087, Worker Thrown From Forklift Sustains Abrasions ,2013-03-11 00:00:00,,False,,
202685921, Fall From Elevated Platform Injures Worker ,2013-02-18 00:00:00,,False,,
201623592, Two Employees Are Struck By Log  One Sustains Fractures ,2013-01-30 00:00:00,,False,,
201186616, Employee Suffers Lacerations When Struck By Tree Branch ,2013-01-24 00:00:00,arm,False,,
202651907, Crane Operator Incurs Knee Injury When Crane Tips Over ,2013-01-09 00:00:00,knee,False,,
202521746, Employee Lacerates Finger On Belt Sander ,2011-05-24 00:00:00,finger,False,,
201503042, Employee Injures Hand When Caught In Rough,2002-08-05 00:00:00,"finger, knuckle",False,,
201620887, Employee Injured When Hand Caught By Plywood Sander Roller ,2001-12-06 00:00:00,finger,False,,
14458525, Finger Cut By Abrasive Grinding Belt ,,finger,False,,
202656997, Sandblasting Worker Sprays Leg With Abrasive Slag ,2012-09-26 00:00:00,"finger, leg",False,,
200203834, Employee Struck By High Pressure Water Is Killed ,2011-12-13 00:00:00,chest,True,,
200541936, Employee Is Killed In Fall From Suspension Scaffold ,2009-10-01 00:00:00,,True,,
201800323, Employee Amputated Finger In Adbrasive Blast Machine ,2005-10-08 00:00:00,finger,False,,
200631141, Employee Is Killed From Asphyxiation While Abrasive Blasting ,2005-03-14 00:00:00,face,True,,
201035995, Employee Dies From Heart Disease ,2017-08-03 00:00:00,,True,,
201174380, Employee Injures Finger When Manhole Cover Falls ,2003-08-26 00:00:00,finger,False,,
14509269, Employee Dies When Crushed By Steel Structure ,2002-07-08 00:00:00,,True,,
200621423, Employee Killed In Fall From Man Lift ,2001-03-16 00:00:00,,True,,
200630598, Three Employees Hospitalized After Fire In Dust Collector ,,,False,,
300058807, Employee Killed In Fall From Roof ,2000-05-09 00:00:00,,True,,
201761053, Two Employees Were Asphyxiated And Died ,,,True,,
201951696, Employee Injured When Struck By Falling Core ,,"leg, ankle",False,,
171057631, Two Employees Injured In Propane Explosion ,,chest,False,,
200521441, Employee'S Hand Severed While Cleaning Sabar System ,,,False,,
603282, Employee Killed When Sandblasting Pot Explodes ,,face,True,,
795021, Employee'S Thigh Lacerated With Abrasive From Machine ,1990-10-02 00:00:00,leg,False,,
14521470, Electric Shock ,,,False,,
14332423, Asphyxiated In Rail Car; Air Compressor Failed ,,,False,,
201186939, Employee'S Foot Is Run Over By Automobile And Is Fractured ,2013-06-20 00:00:00,"leg, ankle",False,,
202477444, Employee'S Thumb Is Injured By Grinder ,2011-06-16 00:00:00,,False,,
201179462, Employee'S Wrist Pressure Burned When Caught In Rollers ,2006-04-21 00:00:00,,False,,
201096104, Employee Iburns Hand While Using Acid To Clean Shuttle Van ,2002-11-01 00:00:00,,False,,
201056629, Employee Injures Legs When Caught Under Sweeper ,2002-08-05 00:00:00,leg,False,,
201114022, Employee Suffers Hand Injury In Rollers ,2002-02-13 00:00:00,,False,,
200810828, Employee Killed In Fall From Telecommunications Tower ,,"heel, face, jaw",True,,
200820934, Employee'S Hand Injured In Contact With Abrasive Wheel ,,,False,,
200962850, Employee'S Arm Injured In Roller Of Fiber Spooler ,,"arm, armpit",False,,
200962249, Employee Injured When Caught By Backhoe Tire ,,"arm, leg, ankle",False,,
170562227, Employees Suffer Burns From Caustic Material ,,,False,,
