case_id,title,description,keywords,victims,date,organization,time,location
202561825, Employee Falls From Flatbed Trailer And Later Dies , On August 30  2013  Employee #1 was working from a flatbed trailer. As he  worked  he fell from the flatbed trailer onto the ground  striking his  abdomen. The fall height of the flatbed trailer was 57 inches. Employee #1  sustained unspecified injuries in the fall that later on caused his death.      ,    truck  flatbed truck  trailer  fall  abdomen , ,"fall that later, August 30 2013",,,
200361855, Two Workers Are Struck By Motor Vehicle And One Is Killed , On August 27  2013  Employees #1 and #2  of Templar Inc.  a construction  company specializing in fiber optic installation and services  were working  along a highway. The highway speed limit was posted at 55 miles per hour.  Employee #1 was marking the location of an underground line that ran below the  turn lane. Employee #2 was next to Employee #1 and performing the duties of a  flagger. A privately owned vehicle was travelling in the travel/through lane.  The vehicle veered to the right  entered the turn lane  and struck both  workers. Emergency medical services were called. Employee #1 was declared dead  at the scene. Employee #2 refused emergency medical treatment for the bruises  he received when struck.                                                        ,    construction  undrgrd power line  highway  traffic control  traffic accident  vehicle  struck by  contusion  abdomen  motor vehicle ,1 317290559   Fatality Other Occupation not reported FallDist: FallHt:Cause: Traffic protectionFatCause: Other ,August 27 2013,# 2 of Templar Inc.,,
200361863, Employee Is Struck By Bales Of Wire And Killed , On August 26  2013  Employee #1  with Lee Iron and Metal Company  Inc.  was  using a forklift (Hyster 50 sit down rider) to move and stack bundled cubes of  recycled insulated co-axial (coax) cable and insulated copper wire. The cubes  weighed anywhere from 1 000 to 2 000 lbs. Employee #1 had completed stacking  one column  consisting of five cubes in height  along the northeast wall of  the recycling warehouse. Employee #1 was beginning a new second column  directly in front of the existing first column. Employee #1 placed the first  cube of the second column tight against the bottom cube of the existing first  column. Employee #1 then backed the forklift up  approximately 5 ft  and  exited the forklift. Employee #1 then stepped in between the forklift and the  cubes to either clean off the top from possible loose wires that created a  hump or to place 4 ft by 4 ft dunnage so the next cube could be stacked. The  five tier stack of cubes began to overturn. The first one went over Employee  #1's head and settled on the forks. The second cube (weighing 1 948 lbs)  struck Employee #1 on the left side of his face and upper torso and forced him  back and down. Employee #1 was pinned between the first cube that fell and  second cube. A third cube also fell  which struck Employee #1's legs. Employee  #1 received a puncture wound to the right abdomen area which caused increased  blood loss. According to the medical examiner's report  Employee #1 died at  the scene from blunt force trauma to the head.                                  ,    waste proc fac  industrial truck  struck by  unstable load  pinned  head  puncture  abdomen  loss of blood , ,August 26 2013,Metal Company Inc.,,
201079324, Employee Is Splashed With Hot Water And Is Burned , On July 14  2013  Employee #1  vacuum pump truck driver and operator  was  offloading hot brine water at a geothermal power plant. He was assigned to  transfer loads of the brine between power plants and had already made several  trips between facilities. When he arrived at the plant  Employee #1 connected  the hose to the vehicle's tank outlet valve and proceeded to empty the tanks  contents by gravity. While the tank was left emptying  he went inside the  plant's control center briefly to cool off and to get a drink of water.  Employee #1 noticed that the flow of brine had stopped due to a clog in the  hose when he returned. He tried to clear the hose by switching the truck to  vacuum. As he did this  he noticed that the flow was still impeded. Employee  #1 loosened the hose coupler on the truck's valve  which caused hot  pressurized brine to flow out. He attempted to hold the hose  but eventually  let go  causing the hot brine water to splash on his left abdomen  right leg   left leg and left shoulder. Employee #1 rushed into the control room and  removed his hot brine soaked clothing. A coworker observed the pump truck with  the brine pouring out and Employee #1 running toward the control room. This  coworker shut off the valve on the pump truck and went to check on Employee  #1. Employee #1 was taken to a hospital and was then transferred to the burn  unit of a medical center. He was admitted to the medical center  where he was  treated for second and third-degree burns and then hospitalized.                ,    truck driver  pump  tank  hot water  struck by  burn  leg  shoulder  abdomen , ,July 14 2013,,,
202658258, Employee Suffers Burns While Moving Soup , On June 30  2013  Employee #1 was working in a food Taqueria for a  supermarket. The employee was in the kitchen area transferring soup from the  kitchen area to a refrigerator. While in the refrigerator  the employee lifted  the pail while hot and the pail was soft due to the heat  it folded causing  the liquid to spill on her the employee's arm  chest and abdomen area.  Employee #1 was transported to an area hospital  where she was treated for  second and third degree burns and remains hospitalized.                         ,    burn  spill  arm  chest  abdomen , ,June 30 2013,,,
202685947, Employee Injures Self With Knife , An incident occurred as Employee #1 was attempting to remove a piece of glass  from a tailgate for replacement. While cutting the seal that holds the glass  Employee #1 was pulling a knife towards himself. The knife slipped and due to  the force and direction  Employee #1 was placing on the knife  caused the  knife to strike him in the abdomen causing a stabbing type of wound. Employee  #1 was taken to a local hospital for the puncture wound and for observation.    ,    knife  puncture  abdomen  struck by  slip  tailgate , ,,,,
202673471, Foreman Is Fatally Crushed When Forklift Tips Over , At approximately 6:30 a.m. on May 13  2013  Employee #1  a foreman regularly  employed by Integrity Rebar Placers  was operating a rough terrain forklift at  a contracted job site in Murrieta  CA. He was using the forklift to move  bundles of steel. Employee #1 was positioning the forklift to pick up another  load when the forklift tipped back and over. Employee #1 exited the cab of the  forklift as the machine tipped over. The forklift fell on top of Employee #1   pinning him under the lower section of the boom and crushing his abdomen. He  was killed. The employer notified Cal/OSHA of this fatality at approximately  8:35 a.m. on May 13  2013. The subsequent investigation determined that  Employee #1 had been employed by the company for approximately 2.5 months.      ,    construction  equipment operator  industrial truck  metal bar  equipment failure  crushed  abdomen  pinned  vehicle  overturn ,1 316211614   Fatality Fracture Supervisors  material moving equipment operators  ,May 13 2013,Integrity Rebar Placers,"8:35 a.m., 6:30 a.m.",Murrieta CA
202369575, Employee Fractures Abdomen When Run Over By Tug Cart , On April 23  2013  Employee #1  a baggage tug operator  was working on the  ground. A coworker was pulling a cart with a tug making turns toward the exit  gate. The turning cart and tug struck and ran over the employee. Employee #1  was transported to King County Medical Examiners  where he was treated for an  abdominal fracture. Employee #1 remained hospitalized.                          ,    cart  struck by  run over  fracture  abdomen , ,April 23 2013,King County Medical Examiners,,
202509832, Employee Suffers Abdominal Fracture In Fall From Ladder , On April 9  2013  Employee #1 was installing vinyl sidings on a single story  residence. The employee was standing an A-frame ladder that was set on a plank  of a scaffold. The scaffold moved causing Employee #1 to lose his balance. The  employee fell from the ladder approximately 12-ft to the ground. Employee #1  was transported to an area hospital  where he was treated for an abdominal  fracture. The employee remained hospitalized.                                   ,    installing  ladder  scaffold  structure moving  lost balance  fall  fracture  abdomen ,1 316817097   Hospitalized injury Fracture Carpenters FallDist: 8FallHt:8Cause: Exterior carpentryFatCause: Fall from/with ladder ,April 9 2013,,,
201129681, Carpenter Injured In Abdomen When Saw Kicks Back , At approximately 6:00 a.m. on April 1  2013  Employee #1 was working for the  City and County of San Francisco Airport Commission in its Facilities  Maintenance Division. The employer's site consisted of shops such as a  carpentry shop  an electrical shop  and a plumbing shop. At the time of the  incident  Employee #1 was with a coworker  who was working as a custodian  in  the carpentry shop. Employee #1 was using a Wadkin Model Number CP12- 91589  table saw. The table saw was provided with a saw guard connected to a dust  collector. It was not equipped with an anti-kickback device. Prior to the  incident  the custodian had asked Employee #1 to cut a piece of wood for him  for a small shelf in his closet. Using the table saw  Employee #1 ripped the  0.75-inch-thick (19-millimeter-thick) plywood for the custodian. Employee #1  turned off the equipment after ripping the piece. The custodian requested a  second piece  cut to a different size  so Employee #1 ripped a second board.  After ripping the second board  Employee #1 left the equipment on  as he and  the custodian discussed cutting a third piece. Employee #1 said he might not  have used the saw guard when he cut the board at the time of the incident   because approximately fifteen seconds later  the piece of plywood from the  table saw kicked back and hit Employee #1 in the abdomen. Employee #1 was  taken to Peninsula Medical Center  where he underwent surgery. He was  hospitalized for approximately five days. The Division of Occupational Safety  and Health was notified by the San Francisco Airport safety officer at  approximately 1:53 p.m. on the day of the accident. The investigation was  initiated at approximately 10:20 a.m. on April 22  2013. At the time of the  inspection  the saw guard was observed with a hole or crack on the front. The  crack or hole had been there before the incident  according to the carpentry  shop supervisor. According to him  the saw guard was designed to prevent  kickback  but the employer did not provide any documentation to support its  claim. The Division issued one Serious Accident-Related citation  alleging  violation of Title 8 of the California Code of Regulations (T8 CCR)  section  4300.1 (c)  for the employer's failure to provide the saw with a hood  guard  or other device(s) designed to prevent a kick back while its employee was  ripping pieces. The Division also issued two General citations for the  employer's failure to ensure that the saw was guarded by a hood that  completely enclosed the portion of the saw blade  in that the hood was cracked  and/or broken  violation of T8 CCR  section 4300.1 (a); and implement and  maintain an effective Injury and Illness Prevention Program in that the  employer had no written inspection record(s) documenting the presence of a  crack or hole on the saw guard for the saw and its planned corrective action   until it was repaired on July 5  2013  violation of T8 CCR  section 3203 (a).   ,    carpenter  saw  table saw  blade  unguarded  kick back  struck by  board  abdomen , ,"April 1 2013, July 5 2013, April 22 2013","CCR, City and County of San Francisco Airport Commission, Division of Occupational Safety and Health, Facilities Maintenance Division, Peninsula Medical Center","10:20 a.m., fifteen seconds later, 6:00 a.m., 1:53 p.m.","California, San Francisco Airport"
202081899, Employee Abdomen And Head Injury In Slip And Fall On Tarp , On February 24  2013  Employee #1 was transferring product from a bulk trailer  to a railcar. The employee slipped on a tarp covering and fell 15 ft to the  ground. The employee was taken to an area hospital  where he was treated for  injuries to his abdomen and abrasions on the back of his head. Employee #1 was  later released.                                                                 ,    train  trailer  railroad car  slip  fall  contusion  abdomen  head , ,February 24 2013,,,
202082020, Employee Sustains Ruptured Spleen After Board Kicks Back , On February 11  2013  an employee was working for a firm that manufactured  kitchen cabinets and countertops. He was using a table saw to cut a large  piece of lumber for use as a cabinet door. The board snagged on the saw blade   and it kicked back and struck him. He took a break and went back to work for  about an hour. He began feeling bad and then passed out. He was taken to the  hospital and admitted for three days for a split or ruptured spleen. He also  sustained a punctured abdomen.                                                  ,    carpenter  saw  board  kick back  struck by  abdomen  puncture  spleen  rupture , ,February 11 2013,,,
201562840, Employee'S Body Is Caught In Asphalt Machine  Dies , On November 27  2012  Employee #1 was operating an asphalt-pulverizing  machine. The employee's work clothing zipper was caught in the  asphalt-pulverizing machine pulling his body into the squeeze point action of  the machine. Employee #1 was amputated from the abdominal point of his body.  The employee was pronounced dead at the scene.                                  ,    asphalt  machine operator  caught by  clothing  point of operation  abdomen  amputated ,1 315881193   Fatality Amputation Construction laborers FallDist: FallHt:Cause: ExcavationFatCause: Crushed/run-over of non-operator by operating cons ,November 27 2012,,,
202674610, Logger Is Injured When Butt Of Tree Kicks Out  Strikes Him ," At approximately 10:00 a.m. on November 7  2012 Employee #1  a logger with  Gillespie Iii  George R and Gillespie  Monique Dba G  was felling burned Cedar  trees at the employer's jobsite in Placerville California. Employee #1  attempted to put the tree down on the side of the hill  at the end of his back  cut. The tree ""barber-chaired""  causing the butt of the tree to kick out and  hit Employee #1 in the chest  abdomen and pelvis area. Employee #1 was  hospitalized from unspecified fracture injuries from the event. Employee #1  had planned a safe and clear escape route but tried to remove his chainsaw  from the tree before evacuating. The Employer had an Injury Illness Prevention  Program in place that included training. First aid and communication equipment  was available at the site and the workers were certified in CPR and first aid.  The Employer was a timber falling company and the work occurred on a fire  salvage-logging project. Employee #1 was an experienced timber faller with  over 20 years of experience.                                                    ",    log  logger  logging  tree felling  struck by  chest  pelvis  abdomen  chain saw , ,November 7 2012,"Gillespie Monique Dba, Injury Illness Prevention Program, CPR, Gillespie Iii George R",10:00 a.m.,Placerville California
202457990, Employee Suffers Burns When He Came In Contact With Live Wir , At approximately 12:00 p.m. on October 17  2012  Employee #1 was cleaning the  interior of the 21000-volt pad mounted transformer with a pole of unknown  substance and approximately 6 to 7-ft in length  with a plastic  bristle  circular end. The employee was standing in front of the open panel 21000-volt  pad mounted transformer. Employee #1 was inspecting the 21000-volt pad mounted  transformer  and was using an apparatus that was not designed to be used near  live electrical wiring. The employee was shocked when the pole he was using  met with live electrical wire. Employee #1 sustained second and third degree  flash burns to his buttock  lower legs  groin and lower abdomen. The employee  was transported to an area hospital  where he was treated for his injuries.  Employee #1 remains hospitalized.                                               ,    cleaning  elec utility work  electrical  load line  shock  burn  leg  buttocks  abdomen , ,October 17 2012,,12:00 p.m.,
201510823, Bulldozer Operator Is Crushed While Working On Engine , On September 26  2012  an employee was working as an industrial equipment  operator for Eagle Peak Rock & Paving  Inc. He exited the cab of an idling  Caterpillar D8K track bulldozer without lowering the unit's blade or ripper  and began to repair the throttle linkage in the engine compartment. While the  employee was kneeling on the bulldozer's track and working in the engine  compartment  the engine suddenly increased in speed  and the bulldozer began  to move. The track the employee was kneeling on carried him to the front of  the unit  which then ran over him. He was killed.                               ,    road paving  equipment operator  earthmoving equip  bulldozer  maintenance  automotive repair  started in gear  crushed  abdomen  elderly , ,September 26 2012,"Eagle Peak Rock & Paving Inc, Caterpillar",,
202478632, Employee Is Punctured In Abdomen With Nail , At approximately 11:57 a.m. on September 28  2012  Employee #1 was working  with a coworker. Their job was to replace the felt under the concrete tile at  the residential location. Once the felt was replaced  the employees would put  the tile back into place. Employee #1 removed debris from a roof and dumping  leftover roof tile into a dumpster on the ground. His coworker  the foreman   was using a Bostitch nail gun (Model Number F21PL  Serial Number 12194029B) to  insert nails into roofing tiles. After the felt was replaced  the employees  would put the tile back in place. While walking on the pitch of the roof   Employee #1 was carrying a load of leftover tile when he slipped and fell into  his coworker. The coworker tried to catch Employee #1  but the nail gun went  off  sending a nail into Employee #1's abdomen. Employee #1 was transported to  a medical center  where he underwent surgical procedures and was hospitalized  for postoperative care.                                                         ,    slip  nail  puncture  abdomen  fall ,1 316345800   Hospitalized injury Puncture Occupation not reported FallDist: FallHt:Cause: RoofingFatCause: Other ,September 28 2012,,11:57 a.m.,
200361178, Employee'S Abdomen Is Penetrated By A Wood Pallet , At approximately 7:00 a.m. on September 20  2012  Employee #1 and coworkers  were building wooden pallets. The employee and coworkers were moved to the  gang ripsaw to start cutting 2 by 12 by 8 in. lumber for kiln strips to be  sent to Weyerhaeuser. The gang ripsaw kicked back a .04 in. square and  approximately 5-6 ft long piece of wood. The piece of wood struck Employee #1  who was feeding the lumber into the saw. The wood piece struck the employee on  the left side penetrating his lower abdomen. Employee #1 was taken to an area  hospital  where he remains hospitalized.                                        ,    saw  building  wood panel  pallet  kick back  flying object  struck by  lumber  abdomen , ,September 20 2012,Weyerhaeuser,7:00 a.m.,
